100.0 	: 53.318099804206724 	 ... Pass? False
200.0 	: 52.59337332812524 	 ... Pass? False
300.0 	: 56.39832155898188 	 ... Pass? False
400.0 	: 59.908354197617086 	 ... Pass? False
500.0 	: 62.37355855169616 	 ... Pass? False
600.0 	: 57.911926213393855 	 ... Pass? False
700.0 	: 57.322427295233695 	 ... Pass? False
800.0 	: 62.30213413590366 	 ... Pass? False
900.0 	: 59.753379883340415 	 ... Pass? False
1000.0 	: 56.39176986942036 	 ... Pass? False
1100.0 	: 54.88219573060985 	 ... Pass? False
1200.0 	: 48.11572027815612 	 ... Pass? False
1300.0 	: 48.69462269001025 	 ... Pass? False
1400.0 	: 50.32060542434567 	 ... Pass? False
1500.0 	: 54.19889266101873 	 ... Pass? False
1600.0 	: 58.98056703593775 	 ... Pass? False
1700.0 	: 57.644309852725286 	 ... Pass? False
1800.0 	: 57.45388396965541 	 ... Pass? False
1900.0 	: 58.78416833054567 	 ... Pass? False
2000.0 	: 61.522740816684205 	 ... Pass? False
2100.0 	: 59.71513151723818 	 ... Pass? False
2200.0 	: 66.50236227186878 	 ... Pass? False
2300.0 	: 72.8783749857073 	 ... Pass? False
2400.0 	: 72.26012954608456 	 ... Pass? False
2500.0 	: 74.25787808431906 	 ... Pass? False
2600.0 	: 72.50541078983302 	 ... Pass? False
2700.0 	: 69.98402802344712 	 ... Pass? False
2800.0 	: 69.1003731558844 	 ... Pass? False
2900.0 	: 73.6052221956855 	 ... Pass? False
3000.0 	: 74.7779037457612 	 ... Pass? False
3100.0 	: 70.14906410447097 	 ... Pass? False
3200.0 	: 74.14519161315178 	 ... Pass? False
3300.0 	: 69.15047441466135 	 ... Pass? False
3400.0 	: 69.53855373440257 	 ... Pass? False
3500.0 	: 69.41140537865112 	 ... Pass? False
3600.0 	: 57.51928787176598 	 ... Pass? False
3700.0 	: 52.27286040930039 	 ... Pass? False
3800.0 	: 61.324308763514296 	 ... Pass? False
3900.0 	: 61.434621538138 	 ... Pass? False
4000.0 	: 62.934819526943556 	 ... Pass? False
4100.0 	: 55.01075376560351 	 ... Pass? False
4200.0 	: 61.55143919459405 	 ... Pass? False
4300.0 	: 61.91881757826373 	 ... Pass? False
4400.0 	: 63.10875170281987 	 ... Pass? False
4500.0 	: 69.50928910646546 	 ... Pass? False
